"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
		"n"	"THAILAND"		"KHAO LAK"	8.661	98.25	647.846									9.71		5														
		"n"	"THAILAND"		"BAN NIANG BEACH"	8.675	98.242	648.896									9.5		5														
		"n"	"INDONESIA"	"ACEH"	"LHOK NGA, NW. COAST OF SUMATRA"	5.442	95.241	244.742									18.4		5														
		"n"	"INDONESIA"	"ACEH"	"LHOK NGA, NW. COAST OF SUMATRA"	5.499	95.226	251.259									21.7		5														
		"n"	"INDONESIA"	"ACEH"	"LHOONG, NW. COAST OF SUMATRA"	5.315	95.24	231.319									25.2		5														
		"n"	"INDONESIA"	"ACEH"	"LHOK NGA, NW. COAST OF SUMATRA"	5.461	95.245	246.639									28.2		5														
		"n"	"INDONESIA"	"ACEH"	"LHOONG, NW. COAST OF SUMATRA"	5.354	95.243	235.347									29.6		5														
		"n"	"MALAYSIA"		"SUNGAI BATU, PENANG IS."	5.28	100.239	533.001									1.8	60	4														1
		"n"	"BRAZIL"		"IMBITUBA PORT, SANTA CATARINA"	-28.217	-48.65	15360.696	27	3	0						0.6		2	30													
		"n"	"MALDIVES"		"NORTH MALE ATOLL, MALE IS."	4.17	73.517	2482.98									1.7	10	4														
		"n"	"MALDIVES"		"NORTH MALE ATOLL, MALE IS."	4.18	73.51	2483.785									1.7	10	4														
		"n"	"MALDIVES"		"LAAMU ATOLL, FONADHOO IS."	1.824	73.495	2491.871									3	30	4														
		"n"	"MALDIVES"		"LAAMU ATOLL, GAN IS."	1.923	73.551	2484.866									2.7	80	4														
		"n"	"MYANMAR (BURMA)"		"PALAUTONTON ISLAND"	10.026	98.512	798.079									2.5		5			1	1								1		
		"n"	"MYANMAR (BURMA)"		"MYOMA JETTY, KAWTHAUNG"	9.978	98.553	794.84									1.6		5														
		"n"	"SRI LANKA"		"TANGALLE (TANGALLA)"	6.031	80.799	1696.959									3.09		5														
		"n"	"INDONESIA"	"ACEH"	"SIMEULUE ISLAND"	2.558	96.308	97.841									4	2000	4														
		"n"	"INDONESIA"	"ACEH"	"LABUHAN BAKTI, SIMEULUE"	2.403	96.481	122.686										1500	4														1
		"n"	"INDONESIA"	"ACEH"	"SALUR, SIMEULUE"	2.442	96.243	105.88									1.5	500	4														
		"n"	"INDONESIA"	"ACEH"	"MEULABOH PORT, SUMATRA"	4.129	96.129	94.949									15	5000	4												1		
		"n"	"INDONESIA"	"ACEH"	"MEULABOH PORT, SUMATRA"	4.209	96.037	100.818									15		4														
		"n"	"INDONESIA"	"ACEH"	"ARONGHAN, MEULABOH, SUMATRA"	4.308	95.972	110.475										5000	4														
		"n"	"INDONESIA"	"ACEH"	"ARONGHAN, MEULABOH, SUMATRA"	4.297	95.948	108.98									15	5000	4														
		"n"	"INDONESIA"	"ACEH"	"ARONGHAN, MEULABOH, SUMATRA"	4.297	95.947	108.969									15	5000	4														
		"n"	"INDONESIA"	"ACEH"	"ARONGHAN, MEULABOH, SUMATRA"	4.3	95.987	109.808									9	5000	4														
		"n"	"INDONESIA"	"ACEH"	"SENEBU VILLAGE, SIMEULUE"	2.386	96.489	124.739										1500	4														1
		"n"	"SRI LANKA"		"SEENIGAMA"	6.201	80.064	1780.308									7		4														
		"n"	"SRI LANKA"		"S. COAST"	5.941	80.494	1728.689									5.5		4														
		"n"	"THAILAND"		"BAN TAM NANG"	8.993	98.412	688.647									0.7	0	5														
		"n"	"THAILAND"		"TA POU NOI"	7.834	98.421	574.868									2.6		5														
		"n"	"SRI LANKA"		"POTTUVIL"	6.874	81.844	1602.241									7	230	4														
		"n"	"SRI LANKA"		"OLUVIL"	7.289	81.866	1611.226									6	100	4														
