YYYY MM DD hh mm ss T HEIGHT
2004 01 07 04 30 00 1 3480.789
2004 01 07 04 45 00 1 3480.882
2004 01 07 05 00 00 1 3480.980
2004 01 07 05 15 00 1 3481.078
2004 01 07 05 30 00 1 3481.182
2004 01 07 05 45 00 1 3481.277
2004 01 07 06 00 00 1 3481.379
2004 01 07 06 15 00 1 3481.475
2004 01 07 06 30 00 1 3481.571
2004 01 07 06 45 00 1 3481.657
2004 01 07 07 00 00 1 3481.736
2004 01 07 07 15 00 1 3481.811
2004 01 07 07 30 00 1 3481.878
2004 01 07 07 45 00 1 3481.932
2004 01 07 08 00 00 1 3481.975
2004 01 07 08 15 00 1 3482.014
2004 01 07 08 30 00 1 3482.045
2004 01 07 08 45 00 1 3482.064
2004 01 07 09 00 00 1 3482.076
2004 01 07 09 15 00 1 3482.080
2004 01 07 09 30 00 1 3482.069
2004 01 07 09 45 00 1 3482.058
2004 01 07 10 00 00 1 3482.033
2004 01 07 10 15 00 1 3482.009
2004 01 07 10 30 00 1 3481.975
2004 01 07 10 45 00 1 3481.936
2004 01 07 11 00 00 1 3481.900
2004 01 07 11 15 00 1 3481.857
2004 01 07 11 30 00 1 3481.814
2004 01 07 11 45 00 1 3481.770
2004 01 07 12 00 00 1 3481.727
2004 01 07 12 15 00 1 3481.691
2004 01 07 12 30 00 1 3481.660
2004 01 07 12 45 00 1 3481.626
2004 01 07 13 00 00 1 3481.602
2004 01 07 13 15 00 1 3481.585
2004 01 07 13 30 00 1 3481.574
2004 01 07 13 45 00 1 3481.569
2004 01 07 14 00 00 1 3481.577
2004 01 07 14 15 00 1 3481.592
2004 01 07 14 30 00 1 3481.609
2004 01 07 14 45 00 1 3481.638
2004 01 07 15 00 00 1 3481.674
2004 01 07 15 15 00 1 3481.718
2004 01 07 15 30 00 1 3481.766
2004 01 07 15 45 00 1 3481.826
2004 01 07 16 00 00 1 3481.889
2004 01 07 16 15 00 1 3481.952
2004 01 07 16 30 00 1 3482.019
2004 01 07 16 45 00 1 3482.086
2004 01 07 17 00 00 1 3482.153
2004 01 07 17 15 00 1 3482.219
2004 01 07 17 30 00 1 3482.282
2004 01 07 17 45 00 1 3482.340
2004 01 07 18 00 00 1 3482.395
2004 01 07 18 15 00 1 3482.441
2004 01 07 18 30 00 1 3482.483
2004 01 07 18 45 00 1 3482.514
2004 01 07 19 00 00 1 3482.537
2004 01 07 19 15 00 1 3482.549
2004 01 07 19 30 00 1 3482.548
2004 01 07 19 45 00 1 3482.539
2004 01 07 20 00 00 1 3482.518
2004 01 07 20 15 00 1 3482.487
2004 01 07 20 30 00 1 3482.442
2004 01 07 20 45 00 1 3482.388
2004 01 07 21 00 00 1 3482.324
2004 01 07 21 15 00 1 3482.250
2004 01 07 21 30 00 1 3482.164
2004 01 07 21 45 00 1 3482.066
2004 01 07 22 00 00 1 3481.964
2004 01 07 22 15 00 1 3481.855
2004 01 07 22 30 00 1 3481.737
2004 01 07 22 45 00 1 3481.621
2004 01 07 23 00 00 1 3481.500
2004 01 07 23 15 00 1 3481.377
2004 01 07 23 30 00 1 3481.255
2004 01 07 23 45 00 1 3481.136
2004 01 08 00 00 00 1 3481.016
2004 01 08 00 15 00 1 3480.904
2004 01 08 00 30 00 1 3480.792
2004 01 08 00 45 00 1 3480.695
2004 01 08 01 00 00 1 3480.605
2004 01 08 01 15 00 1 3480.517
2004 01 08 01 30 00 1 3480.447
2004 01 08 01 45 00 1 3480.386
2004 01 08 02 00 00 1 3480.338
2004 01 08 02 15 00 1 3480.302
2004 01 08 02 30 00 1 3480.277
2004 01 08 02 45 00 1 3480.269
2004 01 08 03 00 00 1 3480.273
2004 01 08 03 15 00 1 3480.292
2004 01 08 03 30 00 1 3480.322
2004 01 08 03 45 00 1 3480.365
2004 01 08 04 00 00 1 3480.420
